X, Y, Lat, Lon, HDT, indicator, p_n, t_n
-0.00382000,-0.00406000,25.01292605,121.54096830,46.26200000,4.00000000,1.00000000,45.00000000
-0.00459000,-0.00487000,25.01292604,121.54096830,45.62600000,4.00000000,1.00000000,45.00000000
-0.00306000,-0.00325000,25.01292606,121.54096830,45.95300000,4.00000000,1.00000000,45.00000000
-0.00884000,0.00523000,25.01292608,121.54096820,44.25400000,4.00000000,1.00000000,45.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,45.31000000,4.00000000,1.00000000,45.00000000
-0.00535000,-0.00568000,25.01292603,121.54096830,43.86100000,4.00000000,1.00000000,45.00000000
-0.00153000,-0.00162000,25.01292608,121.54096830,45.41900000,4.00000000,1.00000000,45.00000000
-0.00535000,-0.00568000,25.01292603,121.54096830,45.43800000,4.00000000,1.00000000,45.00000000
-0.00382000,-0.00406000,25.01292605,121.54096830,45.45700000,4.00000000,1.00000000,45.00000000
-0.00612000,-0.00649000,25.01292602,121.54096830,45.62000000,4.00000000,1.00000000,45.00000000
-0.00688000,-0.00730000,25.01292601,121.54096830,44.15300000,4.00000000,1.00000000,45.00000000
-0.00306000,-0.00325000,25.01292606,121.54096830,45.65900000,4.00000000,1.00000000,45.00000000
-0.01190000,0.00199000,25.01292604,121.54096820,44.81200000,4.00000000,1.00000000,45.00000000
-0.00688000,-0.00730000,25.01292601,121.54096830,46.07300000,4.00000000,1.00000000,45.00000000
-0.00688000,-0.00730000,25.01292601,121.54096830,44.76000000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,45.72100000,4.00000000,1.00000000,45.00000000
-0.00306000,-0.00325000,25.01292606,121.54096830,45.80300000,4.00000000,1.00000000,45.00000000
-0.00229000,-0.00243000,25.01292607,121.54096830,46.30000000,4.00000000,1.00000000,45.00000000
-0.00229000,-0.00243000,25.01292607,121.54096830,44.15000000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,45.00600000,4.00000000,1.00000000,45.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,46.21600000,4.00000000,1.00000000,45.00000000
-0.00229000,-0.00243000,25.01292607,121.54096830,44.84300000,4.00000000,1.00000000,45.00000000
-0.00153000,-0.00162000,25.01292608,121.54096830,45.53200000,4.00000000,1.00000000,45.00000000
-0.00306000,-0.00325000,25.01292606,121.54096830,44.72700000,4.00000000,1.00000000,45.00000000
-0.00229000,-0.00243000,25.01292607,121.54096830,44.40500000,4.00000000,1.00000000,45.00000000
-0.00459000,-0.00487000,25.01292604,121.54096830,45.33900000,4.00000000,1.00000000,45.00000000
-0.00382000,-0.00406000,25.01292605,121.54096830,43.72700000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,45.95400000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,45.70900000,4.00000000,1.00000000,45.00000000
0.00229000,0.00243000,25.01292613,121.54096830,44.78500000,4.00000000,1.00000000,45.00000000
0.00459000,0.00487000,25.01292616,121.54096830,45.81600000,4.00000000,1.00000000,45.00000000
0.00229000,0.00243000,25.01292613,121.54096830,45.37400000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,45.10900000,4.00000000,1.00000000,45.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,45.47300000,4.00000000,1.00000000,45.00000000
0.00229000,0.00243000,25.01292613,121.54096830,45.99600000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,46.14800000,4.00000000,1.00000000,45.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,44.38200000,4.00000000,1.00000000,45.00000000
-0.00153000,-0.00162000,25.01292608,121.54096830,45.14300000,4.00000000,1.00000000,45.00000000
0.00076000,0.00081000,25.01292611,121.54096830,43.81200000,4.00000000,1.00000000,45.00000000
0.00000000,0.00000000,25.01292610,121.54096830,43.88400000,4.00000000,1.00000000,45.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,44.93900000,4.00000000,1.00000000,45.00000000
-0.00076000,-0.00081000,25.01292609,121.54096830,45.06500000,4.00000000,1.00000000,45.00000000
-0.00153000,-0.00162000,25.01292608,121.54096830,45.28400000,4.00000000,1.00000000,45.00000000
0.00153000,0.00162000,25.01292612,121.54096830,44.18100000,4.00000000,1.00000000,45.00000000
0.00229000,0.00243000,25.01292613,121.54096830,44.13000000,4.00000000,1.00000000,45.00000000
-0.00033000,-0.01497000,25.01292600,121.54096840,44.82000000,4.00000000,1.00000000,45.00000000
-0.00535000,-0.00568000,25.01292603,121.54096830,44.41100000,4.00000000,1.00000000,45.00000000
-0.00994000,-0.01055000,25.01292597,121.54096830,43.84100000,4.00000000,1.00000000,45.00000000
-0.01266000,0.00118000,25.01292603,121.54096820,45.97800000,4.00000000,1.00000000,45.00000000
-0.00884000,0.00523000,25.01292608,121.54096820,44.38400000,4.00000000,1.00000000,45.00000000
-0.23405000,0.11707000,25.01292543,121.54096580,1.25900000,2.00000000,1.00000000,0.00000000
-0.24901000,0.11582000,25.01292533,121.54096570,359.96400000,2.00000000,1.00000000,0.00000000
-0.26397000,0.11456000,25.01292523,121.54096560,1.14400000,2.00000000,1.00000000,0.00000000
-0.28624000,0.12016000,25.01292513,121.54096540,359.08100000,2.00000000,1.00000000,0.00000000
-0.31582000,0.13262000,25.01292503,121.54096510,359.72400000,2.00000000,1.00000000,0.00000000
-0.34474000,0.17502000,25.01292513,121.54096460,0.41300000,2.00000000,1.00000000,0.00000000
-0.35970000,0.17377000,25.01292503,121.54096450,0.38400000,2.00000000,1.00000000,0.00000000
-0.36702000,0.18062000,25.01292503,121.54096440,359.47100000,2.00000000,1.00000000,0.00000000
-0.38929000,0.18623000,25.01292493,121.54096420,359.39500000,2.00000000,1.00000000,0.00000000
-0.40424000,0.18497000,25.01292483,121.54096410,0.09000000,2.00000000,1.00000000,0.00000000
-0.42651000,0.19057000,25.01292473,121.54096390,359.19800000,2.00000000,1.00000000,0.00000000
-0.42651000,0.19057000,25.01292473,121.54096390,359.99500000,2.00000000,1.00000000,0.00000000
-0.44147000,0.18931000,25.01292463,121.54096380,359.48700000,2.00000000,1.00000000,0.00000000
-0.44912000,0.18120000,25.01292453,121.54096380,359.00600000,2.00000000,1.00000000,0.00000000
-0.47139000,0.18680000,25.01292443,121.54096360,0.69100000,2.00000000,1.00000000,0.00000000
-0.47139000,0.18680000,25.01292443,121.54096360,359.29600000,2.00000000,1.00000000,0.00000000
-0.47139000,0.18680000,25.01292443,121.54096360,359.01500000,2.00000000,1.00000000,0.00000000
-0.47903000,0.17869000,25.01292433,121.54096360,359.04500000,2.00000000,1.00000000,0.00000000
-0.47903000,0.17869000,25.01292433,121.54096360,0.58000000,2.00000000,1.00000000,0.00000000
-0.49399000,0.17743000,25.01292423,121.54096350,359.54800000,2.00000000,1.00000000,0.00000000
-0.49399000,0.17743000,25.01292423,121.54096350,359.36200000,2.00000000,1.00000000,0.00000000
-0.49399000,0.17743000,25.01292423,121.54096350,1.16500000,2.00000000,1.00000000,0.00000000
-0.48668000,0.17058000,25.01292423,121.54096360,359.62900000,2.00000000,1.00000000,0.00000000
-0.48701000,0.15560000,25.01292413,121.54096370,0.33800000,2.00000000,1.00000000,0.00000000
-0.47969000,0.14875000,25.01292413,121.54096380,359.18300000,2.00000000,1.00000000,0.00000000
0.00961000,-0.00442000,25.01292613,121.54096840,0.42300000,4.00000000,1.00000000,0.00000000
0.00382000,0.00406000,25.01292615,121.54096830,0.76600000,4.00000000,1.00000000,0.00000000
0.01037000,-0.00361000,25.01292614,121.54096840,0.91800000,4.00000000,1.00000000,0.00000000
0.00382000,0.00406000,25.01292615,121.54096830,0.39800000,4.00000000,1.00000000,0.00000000
0.00459000,0.00487000,25.01292616,121.54096830,0.37400000,4.00000000,1.00000000,0.00000000
