Lat,Lon,HDT,indicator,p_n,t_n
25.01292605,121.5409683,-1,4,1,0
25.01292604,121.5409683,-1,4,1,0
25.01292606,121.5409683,-1,4,1,0
25.01292608,121.5409682,-1,4,1,0
25.01292609,121.5409683,-1,4,1,0
25.01292603,121.5409683,-1,4,1,0
25.01292608,121.5409683,-1,4,1,0
25.01292603,121.5409683,-1,4,1,0
25.01292605,121.5409683,-1,4,1,0
25.01292602,121.5409683,-1,4,1,0
25.01292601,121.5409683,-1,4,1,0
25.01292606,121.5409683,-1,4,1,0
25.01292604,121.5409682,-1,4,1,0
25.01292601,121.5409683,-1,4,1,0
25.01292601,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.01292606,121.5409683,-1,4,1,0
25.01292607,121.5409683,-1,4,1,0
25.01292607,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.01292609,121.5409683,-1,4,1,0
25.01292607,121.5409683,-1,4,1,0
25.01292608,121.5409683,-1,4,1,0
25.01292606,121.5409683,-1,4,1,0
25.01292607,121.5409683,-1,4,1,0
25.01292604,121.5409683,-1,4,1,0
25.01292605,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.01292613,121.5409683,-1,4,1,0
25.01292616,121.5409683,-1,4,1,0
25.01292613,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.01292609,121.5409683,-1,4,1,0
25.01292613,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.01292609,121.5409683,-1,4,1,0
25.01292608,121.5409683,-1,4,1,0
25.01292611,121.5409683,-1,4,1,0
25.0129261,121.5409683,-1,4,1,0
25.01292609,121.5409683,-1,4,1,0
25.01292609,121.5409683,-1,4,1,0
25.01292608,121.5409683,-1,4,1,0
25.01292612,121.5409683,-1,4,1,0
25.01292613,121.5409683,-1,4,1,0
25.012926,121.5409684,-1,4,1,0
25.01292603,121.5409683,-1,4,1,0
25.01292597,121.5409683,-1,4,1,0
25.01292603,121.5409682,-1,4,1,0
25.01292608,121.5409682,-1,4,1,0
25.01292543,121.5409658,-1,2,1,45
25.01292533,121.5409657,-1,2,1,45
25.01292523,121.5409656,-1,2,1,45
25.01292513,121.5409654,-1,2,1,45
25.01292503,121.5409651,-1,2,1,45
25.01292513,121.5409646,-1,2,1,45
25.01292503,121.5409645,-1,2,1,45
25.01292503,121.5409644,-1,2,1,45
25.01292493,121.5409642,-1,2,1,45
25.01292483,121.5409641,-1,2,1,45
25.01292473,121.5409639,-1,2,1,45
25.01292473,121.5409639,-1,2,1,45
25.01292463,121.5409638,-1,2,1,45
25.01292453,121.5409638,-1,2,1,45
25.01292443,121.5409636,-1,2,1,45
25.01292443,121.5409636,-1,2,1,45
25.01292443,121.5409636,-1,2,1,45
25.01292433,121.5409636,-1,2,1,45
25.01292433,121.5409636,-1,2,1,45
25.01292423,121.5409635,-1,2,1,45
25.01292423,121.5409635,-1,2,1,45
25.01292423,121.5409635,-1,2,1,45
25.01292423,121.5409636,-1,2,1,45
25.01292413,121.5409637,-1,2,1,45
25.01292413,121.5409638,-1,2,1,45
25.01292613,121.5409684,-1,4,1,45
25.01292615,121.5409683,-1,4,1,45
25.01292614,121.5409684,-1,4,1,45
25.01292615,121.5409683,-1,4,1,45
25.01292616,121.5409683,-1,4,1,45
25.01292616,121.5409683,-1,4,1,45
25.01292614,121.5409683,-1,4,1,45
25.01292617,121.5409683,-1,4,1,45
