Lat,Lon,indicator,p_n
25.0130491,121.5411136,4,5
25.0132351,121.5413296,4,11
25.0133161,121.5414226,4,14
25.0133826,121.5413549,4,16
25.0137432,121.5409796,4,27
25.0137758,121.5409457,4,28
25.01367,121.5407833,4,31
25.0136079,121.5407113,4,32
25.013546,121.5406397,4,33
25.0131898,121.5406971,4,41
25.0129261,121.5409683,4,1
25.0129562,121.5410052,4,2
25.0129877,121.5410406,4,3
25.0130184,121.5410771,4,4
25.0130795,121.5411498,4,6
25.0132972,121.5414013,4,13
25.0133489,121.541388,4,15
25.0134158,121.5413213,4,17
25.0135469,121.5411851,4,21
25.0135796,121.541151,4,22
25.0136122,121.5411167,4,23
25.0136453,121.5410822,4,24
25.0136776,121.5410483,4,25
25.0137103,121.541014,4,26
25.0138083,121.5409118,4,29
25.0137326,121.5408557,4,30
25.0134834,121.5405675,4,34
25.0133209,121.5405608,4,39
25.0132556,121.5406291,4,40
25.0129923,121.5409005,4,44
