X,Y,Lat,Lon,HDT,indicator,p_n,t_n
-0.00382,-0.00406,25.01292605,121.5409683,-1.0,4.0,1.0,0.0
-0.00459,-0.00487,25.01292604,121.5409683,-1.0,4.0,1.0,0.0
-0.00306,-0.00325,25.01292606,121.5409683,-1.0,4.0,1.0,0.0
-0.00884,0.00523,25.01292608,121.5409682,-1.0,4.0,1.0,0.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,0.0
-0.00535,-0.00568,25.01292603,121.5409683,-1.0,4.0,1.0,0.0
-0.00153,-0.00162,25.01292608,121.5409683,-1.0,4.0,1.0,0.0
-0.00535,-0.00568,25.01292603,121.5409683,-1.0,4.0,1.0,0.0
-0.00382,-0.00406,25.01292605,121.5409683,-1.0,4.0,1.0,0.0
-0.00612,-0.00649,25.01292602,121.5409683,-1.0,4.0,1.0,0.0
-0.00688,-0.0073,25.01292601,121.5409683,-1.0,4.0,1.0,0.0
-0.00306,-0.00325,25.01292606,121.5409683,-1.0,4.0,1.0,0.0
-0.0119,0.00199,25.01292604,121.5409682,-1.0,4.0,1.0,0.0
-0.00688,-0.0073,25.01292601,121.5409683,-1.0,4.0,1.0,0.0
-0.00688,-0.0073,25.01292601,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
-0.00306,-0.00325,25.01292606,121.5409683,-1.0,4.0,1.0,0.0
-0.00229,-0.00243,25.01292607,121.5409683,-1.0,4.0,1.0,0.0
-0.00229,-0.00243,25.01292607,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,0.0
-0.00229,-0.00243,25.01292607,121.5409683,-1.0,4.0,1.0,0.0
-0.00153,-0.00162,25.01292608,121.5409683,-1.0,4.0,1.0,0.0
-0.00306,-0.00325,25.01292606,121.5409683,-1.0,4.0,1.0,0.0
-0.00229,-0.00243,25.01292607,121.5409683,-1.0,4.0,1.0,0.0
-0.00459,-0.00487,25.01292604,121.5409683,-1.0,4.0,1.0,0.0
-0.00382,-0.00406,25.01292605,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
0.00229,0.00243,25.01292613,121.5409683,-1.0,4.0,1.0,0.0
0.00459,0.00487,25.01292616,121.5409683,-1.0,4.0,1.0,0.0
0.00229,0.00243,25.01292613,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,0.0
0.00229,0.00243,25.01292613,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,0.0
-0.00153,-0.00162,25.01292608,121.5409683,-1.0,4.0,1.0,0.0
0.00076,0.00081,25.01292611,121.5409683,-1.0,4.0,1.0,0.0
0.0,0.0,25.0129261,121.5409683,-1.0,4.0,1.0,0.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,0.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,0.0
-0.00153,-0.00162,25.01292608,121.5409683,-1.0,4.0,1.0,0.0
0.00153,0.00162,25.01292612,121.5409683,-1.0,4.0,1.0,0.0
0.00229,0.00243,25.01292613,121.5409683,-1.0,4.0,1.0,0.0
-0.00033,-0.01497,25.012926,121.5409684,-1.0,4.0,1.0,0.0
-0.00535,-0.00568,25.01292603,121.5409683,-1.0,4.0,1.0,0.0
-0.00994,-0.01055,25.01292597,121.5409683,-1.0,4.0,1.0,0.0
-0.01266,0.00118,25.01292603,121.5409682,-1.0,4.0,1.0,0.0
-0.00884,0.00523,25.01292608,121.5409682,-1.0,4.0,1.0,0.0
-0.23405,0.11707,25.01292543,121.5409658,-1.0,2.0,1.0,45.0
-0.24901,0.11582,25.01292533,121.5409657,-1.0,2.0,1.0,45.0
-0.26397,0.11456,25.01292523,121.5409656,-1.0,2.0,1.0,45.0
-0.28624,0.12016,25.01292513,121.5409654,-1.0,2.0,1.0,45.0
-0.31582,0.13262,25.01292503,121.5409651,-1.0,2.0,1.0,45.0
-0.34474,0.17502,25.01292513,121.5409646,-1.0,2.0,1.0,45.0
-0.3597,0.17377,25.01292503,121.5409645,-1.0,2.0,1.0,45.0
-0.36702,0.18062,25.01292503,121.5409644,-1.0,2.0,1.0,45.0
-0.38929,0.18623,25.01292493,121.5409642,-1.0,2.0,1.0,45.0
-0.40424,0.18497,25.01292483,121.5409641,-1.0,2.0,1.0,45.0
-0.42651,0.19057,25.01292473,121.5409639,-1.0,2.0,1.0,45.0
-0.42651,0.19057,25.01292473,121.5409639,-1.0,2.0,1.0,45.0
-0.44147,0.18931,25.01292463,121.5409638,-1.0,2.0,1.0,45.0
-0.44912,0.1812,25.01292453,121.5409638,-1.0,2.0,1.0,45.0
-0.47139,0.1868,25.01292443,121.5409636,-1.0,2.0,1.0,45.0
-0.47139,0.1868,25.01292443,121.5409636,-1.0,2.0,1.0,45.0
-0.47139,0.1868,25.01292443,121.5409636,-1.0,2.0,1.0,45.0
-0.47903,0.17869,25.01292433,121.5409636,-1.0,2.0,1.0,45.0
-0.47903,0.17869,25.01292433,121.5409636,-1.0,2.0,1.0,45.0
-0.49399,0.17743,25.01292423,121.5409635,-1.0,2.0,1.0,45.0
-0.49399,0.17743,25.01292423,121.5409635,-1.0,2.0,1.0,45.0
-0.49399,0.17743,25.01292423,121.5409635,-1.0,2.0,1.0,45.0
-0.48668,0.17058,25.01292423,121.5409636,-1.0,2.0,1.0,45.0
-0.48701,0.1556,25.01292413,121.5409637,-1.0,2.0,1.0,45.0
-0.47969,0.14875,25.01292413,121.5409638,-1.0,2.0,1.0,45.0
0.00961,-0.00442,25.01292613,121.5409684,-1.0,4.0,1.0,45.0
0.00382,0.00406,25.01292615,121.5409683,-1.0,4.0,1.0,45.0
0.01037,-0.00361,25.01292614,121.5409684,-1.0,4.0,1.0,45.0
0.00382,0.00406,25.01292615,121.5409683,-1.0,4.0,1.0,45.0
0.00459,0.00487,25.01292616,121.5409683,-1.0,4.0,1.0,45.0
0.00459,0.00487,25.01292616,121.5409683,-1.0,4.0,1.0,45.0
0.00306,0.00325,25.01292614,121.5409683,-1.0,4.0,1.0,45.0
0.00535,0.00568,25.01292617,121.5409683,-1.0,4.0,1.0,45.0
0.00306,0.00325,25.01292614,121.5409683,-1.0,4.0,1.0,45.0
0.01768,-0.01047,25.01292614,121.5409685,-1.0,2.0,1.0,45.0
0.01735,-0.02544,25.01292604,121.5409686,-1.0,2.0,1.0,45.0
0.02467,-0.0323,25.01292604,121.5409687,-1.0,2.0,1.0,45.0
0.03165,-0.05413,25.01292594,121.5409689,-1.0,2.0,1.0,45.0
0.03132,-0.0691,25.01292584,121.540969,-1.0,2.0,1.0,45.0
0.05359,-0.0747,25.01292594,121.5409692,-1.0,2.0,1.0,45.0
0.00382,0.00406,25.01292615,121.5409683,-1.0,4.0,1.0,45.0
-0.00076,-0.00081,25.01292609,121.5409683,-1.0,4.0,1.0,45.0
0.00153,0.00162,25.01292612,121.5409683,-1.0,4.0,1.0,45.0
0.00306,0.00325,25.01292614,121.5409683,-1.0,4.0,1.0,45.0
0.00459,0.00487,25.01292616,121.5409683,-1.0,4.0,1.0,45.0
0.00382,0.00406,25.01292615,121.5409683,-1.0,4.0,1.0,45.0
0.00229,0.00243,25.01292613,121.5409683,-1.0,4.0,1.0,45.0
0.00229,0.00243,25.01292613,121.5409683,-1.0,4.0,1.0,45.0
0.00459,0.00487,25.01292616,121.5409683,-1.0,4.0,1.0,45.0
0.00459,0.00487,25.01292616,121.5409683,-1.0,4.0,1.0,45.0
0.00612,0.00649,25.01292618,121.5409683,-1.0,4.0,1.0,45.0
-0.20811,-0.06007,25.01292443,121.5409672,-1.0,2.0,1.0,90.0
-0.21575,-0.06818,25.01292433,121.5409672,-1.0,2.0,1.0,90.0
-0.22306,-0.06132,25.01292433,121.5409671,-1.0,2.0,1.0,90.0
-0.23071,-0.06943,25.01292423,121.5409671,-1.0,2.0,1.0,90.0
-0.23104,-0.08441,25.01292413,121.5409672,-1.0,2.0,1.0,90.0
-0.23104,-0.08441,25.01292413,121.5409672,-1.0,2.0,1.0,90.0
